,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"neither unimaginative nor imaginative, neither uncreative nor creative, neither uninquisitive nor curious, neither socially conservative nor socially progressive, and neither unreflective nor reflective",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely friendly, extremely bold, extremely adventurous and daring, extremely extraverted and extremely assertive",5,5,1,1,1,5,5,1,5,5,1,1,2,1,5,1,1,1,2,5,5,4,1,5,1,1,5,5,2,1,1,5,2,1,5,1,2,5,1,5,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,4,5,5
"unaltruistic, distrustful, dishonest, immoral and  uncooperative",1,1,5,1,5,4,1,5,1,2,4,5,1,4,1,2,5,1,5,1,5,5,4,1,5,5,1,5,1,5,1,1,1,1,1,1,5,2,1,2,2,5,1,1,2,2,5,5,5,5,1,1,1,2,4,1,1,5,4,1
"artistically unappreciative, emotionally closed, predictable, socially conservative and  uncreative",1,1,2,2,5,4,4,4,2,1,5,5,5,1,1,4,5,5,4,1,4,1,2,4,5,3,2,2,5,5,2,2,5,4,1,4,4,4,2,1,2,5,4,5,5,1,5,1,4,5,5,4,4,2,5,1,2,2,1,1
"very calm, very unselfconscious, very at ease, very emotionally stable and very happy",5,5,1,5,4,5,5,1,5,5,2,1,5,1,4,4,1,4,1,4,4,1,1,5,1,2,5,2,5,2,2,5,4,1,4,2,1,4,1,4,4,1,5,5,2,4,1,1,5,2,2,5,4,1,4,4,5,2,1,4
"adventurous and daring, active, cheerful, friendly and  extraverted",5,4,2,4,1,5,5,1,5,5,1,1,2,1,5,1,1,2,2,4,5,1,1,5,1,1,4,4,4,1,1,5,2,1,4,1,1,4,1,2,5,1,4,2,1,5,1,1,5,1,1,5,4,1,1,5,5,4,2,5
"a bit socially progressive, a bit creative, a bit emotionally aware, a bit spontaneous and a bit aesthetic",2,4,4,4,1,2,5,2,4,5,2,2,2,4,4,2,1,2,1,5,2,2,2,4,2,2,4,1,3,1,2,4,2,2,5,2,1,2,2,4,4,2,3,2,2,4,1,2,1,2,2,4,3,2,2,4,4,4,4,4
"very extraverted, very energetic, very talkative, very assertive and very cheerful",5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,1,1,5,5,1,1,5,1,1,5,4,5,1,1,5,2,1,5,1,1,5,1,2,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,1,5,5
"altruistic, agreeable, unselfish, generous and  honest",2,5,2,4,2,2,5,1,5,4,2,1,5,1,3,2,1,2,2,4,2,1,2,4,1,2,5,1,4,2,2,5,3,2,4,2,1,4,2,4,3,1,5,4,2,2,1,1,3,1,2,5,4,1,2,4,5,1,1,3
"a bit adventurous and daring, a bit friendly, a bit talkative, a bit extraverted and a bit active",5,4,2,2,2,4,5,1,4,5,1,2,2,2,4,1,1,2,4,4,4,2,2,4,1,1,4,4,3,2,2,4,2,2,4,2,2,4,2,4,5,2,4,2,2,4,1,2,4,2,1,4,4,2,2,5,4,4,2,4
"extremely reflective, extremely sophisticated, extremely analytical, extremely spontaneous and extremely emotionally aware",3,4,1,4,1,4,4,2,4,5,2,1,4,4,5,2,1,4,4,5,2,1,2,4,1,2,4,2,4,2,2,5,2,2,5,2,2,4,2,5,4,1,4,4,1,2,2,1,3,1,2,5,4,2,1,4,4,1,2,5
"extremely unfriendly, extremely timid, extremely unadventurous, extremely introverted and extremely unassertive",1,4,4,1,4,1,4,4,1,1,5,2,4,4,1,5,4,4,5,2,1,1,5,1,5,5,2,1,2,4,5,2,4,5,2,5,1,1,4,2,1,5,2,4,4,1,4,2,1,4,5,4,1,4,4,1,2,1,4,1
"very unsympathetic, very distrustful, very immoral, very self-important and very unaltruistic",1,1,2,1,5,5,1,2,1,1,4,5,1,3,2,1,5,2,4,1,5,5,1,5,5,4,1,5,2,5,1,1,1,1,1,1,5,5,1,1,3,5,1,5,2,2,5,5,5,5,1,1,2,1,5,2,1,5,2,5
"neither silent nor talkative, neither inactive nor active, neither timid nor bold, neither unassertive nor assertive, and neither introverted nor extraverted",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit conscientious, a bit hardworking, a bit thorough, a bit practical and a bit orderly",2,3,1,2,4,2,4,1,3,3,2,2,4,1,2,2,1,4,4,2,2,1,1,4,2,2,3,2,4,2,2,4,4,4,2,2,1,4,2,3,2,2,4,4,2,2,1,1,3,2,1,4,4,2,2,2,2,2,1,2
"neither patient nor irritable, neither easygoing nor anxious, neither happy nor depressed, neither emotionally stable nor emotionally unstable, and neither at ease nor nervous",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"very messy, very careless, very extravagant, very undisciplined and very unsure",4,4,5,1,4,2,2,4,2,4,2,2,1,4,4,2,2,1,4,3,2,4,5,2,4,4,4,5,2,2,2,2,1,4,4,4,4,1,3,4,4,2,1,1,4,4,3,5,2,4,4,2,1,4,4,5,2,5,5,4
"a bit easygoing, a bit contented, a bit calm, a bit at ease and a bit happy",2,4,2,4,4,2,4,2,4,4,4,2,4,2,4,4,2,2,2,4,2,1,2,4,2,4,4,4,4,2,2,4,3,2,4,2,2,4,2,2,2,2,4,4,2,2,2,2,4,2,2,4,3,2,4,2,4,2,1,4
"very kind, very humble, very honest, very sympathetic and very unselfish",2,5,2,4,3,2,5,1,5,5,2,1,5,1,2,4,1,2,2,4,1,1,2,5,2,2,5,2,4,2,4,5,3,2,4,4,1,4,4,4,3,1,5,4,2,2,1,1,3,1,5,5,4,1,2,4,5,1,1,3
"extraverted, friendly, energetic, adventurous and daring and  active",5,4,2,2,1,5,5,1,5,5,1,1,2,1,5,1,1,2,2,4,5,2,1,5,1,1,4,4,2,1,1,5,2,1,4,1,1,5,1,2,5,1,4,2,1,5,1,1,5,1,1,5,5,1,1,5,5,4,2,5
"very irritable, very impulsive, very anxious, very nervous and very tense",1,1,5,1,4,1,2,1,1,2,5,5,1,5,2,1,4,1,5,2,1,5,5,1,5,2,1,4,1,4,2,2,1,5,2,5,4,2,4,2,5,5,1,1,2,2,4,4,1,4,1,1,1,5,4,1,1,5,5,2
"a bit friendly, a bit energetic, a bit talkative, a bit extraverted and a bit cheerful",5,4,2,4,2,4,5,1,4,5,1,1,4,2,4,2,1,2,2,4,4,1,2,4,2,2,4,4,4,2,2,5,1,2,4,2,1,4,2,4,5,1,4,2,2,5,1,2,4,1,2,5,4,1,2,5,4,2,2,4
"extremely impractical, extremely disorganized, extremely careless, extremely messy and extremely unsure",2,4,5,1,4,2,3,4,2,5,4,2,1,4,4,2,2,1,4,4,1,4,5,1,4,4,3,5,1,2,3,1,1,4,3,4,3,1,4,4,4,3,1,1,4,3,3,5,2,4,4,2,1,4,4,4,4,5,4,4
"neither selfish nor unselfish, neither stingy nor generous, neither dishonest nor honest, neither unaltruistic nor altruistic, and neither unkind nor kind",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely messy, extremely unsure, extremely lazy, extremely disorganized and extremely impractical",1,3,5,1,4,1,3,5,2,3,4,2,1,4,2,3,3,1,3,3,1,2,5,1,3,5,3,5,2,3,3,2,1,3,3,4,3,1,4,2,1,3,1,1,4,2,2,5,2,4,4,3,1,4,4,1,2,5,4,2
"a bit unaesthetic, a bit artistically unappreciative, a bit uncreative, a bit predictable and a bit unimaginative",2,3,4,3,5,2,3,4,2,2,4,4,4,3,1,3,3,4,3,1,2,2,4,3,4,3,3,4,4,4,3,4,4,3,2,4,3,4,3,2,2,3,4,4,4,2,3,4,3,4,4,4,4,3,4,2,2,3,2,1
"messy, undisciplined, disorganized, negligent and  careless",4,4,5,2,3,2,2,5,2,1,2,4,1,4,4,2,4,1,1,4,2,4,5,2,4,4,4,5,2,2,2,2,1,2,4,4,4,1,4,3,4,2,1,1,4,4,4,5,2,4,4,2,1,4,4,4,2,5,4,4
"a bit socially conservative, a bit uncreative, a bit emotionally closed, a bit predictable and a bit unaesthetic",1,2,2,2,4,2,5,2,2,2,4,4,5,2,2,4,4,5,4,2,2,1,4,4,4,4,2,2,4,4,4,3,5,4,2,4,1,4,2,2,2,4,5,5,4,2,4,1,4,4,4,5,5,2,4,2,2,2,1,2
"spontaneous, reflective, artistically appreciative, socially progressive and  intelligent",1,5,4,1,1,4,5,2,4,5,2,1,1,1,5,2,1,1,4,5,1,1,1,4,1,2,4,4,2,1,4,5,1,1,1,2,1,2,1,1,4,1,2,2,1,4,1,1,1,1,2,5,1,2,1,5,4,4,4,5
"extremely selfish, extremely stingy, extremely distrustful, extremely unaltruistic and extremely immoral",1,1,2,1,5,5,1,4,1,1,4,5,1,4,1,2,5,1,4,1,5,5,2,5,5,4,1,5,1,4,1,1,1,4,1,1,5,4,1,1,1,5,1,1,3,1,5,5,5,5,1,1,2,1,4,1,1,5,4,1
"a bit unadventurous, a bit unfriendly, a bit silent, a bit introverted and a bit inactive",1,2,3,2,4,1,3,4,2,1,4,4,3,2,1,5,4,4,4,2,1,1,4,2,4,4,2,2,3,4,4,2,3,4,2,4,2,2,4,2,1,4,3,4,4,1,4,2,2,4,4,2,2,4,4,1,2,2,2,1
"very uncreative, very socially conservative, very uninquisitive, very unintelligent and very unimaginative",1,2,4,3,5,2,4,4,2,5,4,5,4,3,5,4,4,4,3,1,2,1,5,3,5,4,3,3,3,5,3,3,4,3,5,5,3,3,3,1,2,5,4,4,5,2,4,4,3,5,5,4,3,3,5,2,3,3,4,1
"extremely depressed, extremely anxious, extremely impulsive, extremely tense and extremely self-conscious",1,2,5,1,4,1,2,2,1,2,5,4,1,5,2,4,4,1,5,3,1,4,5,1,4,4,1,5,1,4,5,2,1,5,2,5,4,1,5,4,1,4,1,1,2,1,4,5,1,4,4,2,2,5,4,1,1,5,5,2
"a bit gloomy, a bit unenergetic, a bit unfriendly, a bit unadventurous and a bit inactive",1,2,4,2,4,1,3,5,1,2,5,4,2,4,1,4,4,2,4,2,1,2,4,2,4,4,2,4,2,4,4,2,2,5,2,4,4,2,4,2,1,4,2,3,4,1,4,4,2,4,5,2,2,4,4,1,2,3,4,1
"unaltruistic, disagreeable, selfish, stingy and  dishonest",1,1,4,1,5,5,1,5,1,1,4,5,1,4,1,2,5,1,4,1,5,5,2,1,4,2,1,5,1,5,1,1,1,2,1,1,5,2,1,1,2,5,1,1,2,2,5,5,5,5,1,1,1,1,4,1,1,5,2,2
"extremely emotionally stable, extremely at ease, extremely happy, extremely level-headed and extremely relaxed",4,5,1,5,4,5,5,2,5,5,4,1,5,1,4,4,1,4,1,4,4,1,1,5,2,4,5,2,5,2,2,5,4,1,5,2,1,5,1,4,4,1,5,5,2,4,1,1,5,1,2,5,5,1,4,5,5,1,1,4
"a bit orderly, a bit self-disciplined, a bit conscientious, a bit thorough and a bit practical",2,3,1,4,4,3,4,1,4,3,4,2,4,1,2,2,1,4,2,2,2,1,1,4,2,2,3,2,4,2,2,4,4,2,2,2,1,4,2,3,2,2,4,4,2,2,1,1,4,2,1,4,4,2,4,2,3,2,1,2
"a bit organized, a bit hardworking, a bit practical, a bit self-efficacious and a bit conscientious",2,3,2,3,2,4,4,1,4,3,2,2,4,2,3,2,1,4,2,2,2,1,2,4,2,2,3,2,4,2,2,4,4,2,2,2,1,4,2,3,3,2,4,4,2,2,1,1,3,2,2,4,4,2,2,3,3,2,1,2
"trustful, kind, moral, generous and  humble",2,5,2,4,2,2,5,1,5,4,2,1,5,1,3,4,1,3,2,4,2,1,2,5,2,2,5,1,4,2,4,5,4,2,4,4,1,4,2,4,3,1,5,4,2,2,1,1,4,1,2,5,4,1,2,4,5,1,1,3
"introverted, unfriendly, unenergetic, unadventurous and  inactive",1,2,4,2,4,1,3,4,2,1,5,4,3,4,1,5,4,3,4,2,1,1,5,2,5,5,3,4,3,4,5,2,3,5,2,4,4,2,4,3,1,4,2,4,4,1,4,4,3,4,4,2,2,4,4,1,2,3,4,1
"extremely dishonest, extremely distrustful, extremely uncooperative, extremely disagreeable and extremely unkind",1,1,2,1,4,5,1,2,1,1,4,5,1,4,1,2,5,1,4,1,5,5,2,1,5,2,1,1,1,1,1,1,1,1,1,1,5,1,2,2,2,5,1,1,2,1,5,5,5,5,1,1,1,2,4,1,1,5,5,1
"extremely talkative, extremely active, extremely friendly, extremely cheerful and extremely assertive",5,5,1,1,1,5,5,1,5,5,1,1,4,1,5,1,1,2,1,5,5,1,1,5,1,1,5,5,4,1,1,5,1,1,5,1,1,5,1,4,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,2,1,5
"a bit generous, a bit honest, a bit altruistic, a bit cooperative and a bit kind",3,4,2,4,2,2,5,2,4,4,2,2,4,2,4,2,1,2,2,4,2,1,2,4,2,2,4,2,4,2,4,4,3,2,4,4,1,4,2,4,3,2,4,4,2,2,1,1,3,2,2,5,4,2,2,4,4,2,2,4
"very sophisticated, very spontaneous, very curious, very imaginative and very artistically appreciative",4,5,1,4,1,4,5,1,4,5,1,2,2,1,5,2,1,2,1,5,4,1,2,4,1,2,1,2,2,1,2,5,2,1,5,2,1,1,2,5,4,1,1,2,1,4,1,5,1,1,1,1,2,1,1,5,5,4,1,5
"very intelligent, very reflective, very analytical, very emotionally aware and very creative",2,1,2,3,1,4,5,1,4,5,2,2,4,1,5,2,1,4,4,5,3,2,2,4,1,2,4,2,4,1,1,5,2,2,5,2,2,4,2,5,2,2,4,4,1,2,2,1,2,1,1,4,4,2,1,3,4,2,1,5
"extremely self-conscious, extremely anxious, extremely nervous, extremely irritable and extremely depressed",1,2,4,1,4,1,3,2,1,2,5,4,1,5,2,4,2,1,5,2,1,4,5,1,4,4,1,2,1,4,5,2,2,5,2,4,4,1,5,3,1,4,1,1,4,1,4,4,1,4,4,2,2,5,4,1,1,4,5,2
"a bit dishonest, a bit unaltruistic, a bit selfish, a bit distrustful and a bit unkind",2,1,4,2,4,5,2,4,2,2,4,4,2,4,2,2,4,2,4,2,5,4,4,2,4,4,2,4,2,3,2,1,2,4,2,2,4,4,2,1,3,4,2,2,3,4,4,4,2,4,5,2,2,2,4,2,1,4,4,2
"a bit happy, a bit easygoing, a bit contented, a bit patient and a bit emotionally stable",4,4,2,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,2,2,4,2,4,4,2,4,2,4,4,4,2,4,4,2,4,2,4,3,2,4,4,2,3,1,2,4,2,2,4,4,2,4,4,4,2,1,4
"neither unimaginative nor imaginative, neither unreflective nor reflective, neither predictable nor spontaneous, neither unintelligent nor intelligent, and neither uncreative nor creative",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"altruistic, trustful, humble, agreeable and  sympathetic",2,5,2,4,2,2,5,1,5,4,2,1,5,1,2,4,1,2,2,4,1,1,2,4,2,2,5,2,4,2,4,5,3,2,4,4,1,3,2,4,2,1,5,4,2,2,1,1,2,1,2,5,4,1,2,4,5,1,1,3
"self-efficacious, conscientious, orderly, self-disciplined and  hardworking",2,3,1,4,2,5,5,1,5,3,1,1,5,1,3,2,1,5,2,2,4,1,1,5,1,1,4,1,5,1,1,5,5,2,2,1,1,5,1,4,5,1,5,5,2,2,1,1,4,1,1,5,5,1,1,4,3,1,1,2
"a bit self-disciplined, a bit thrifty, a bit thorough, a bit practical and a bit organized",2,2,1,3,4,2,4,1,3,3,2,2,4,1,2,2,1,4,2,2,2,1,2,4,2,2,3,2,4,2,2,4,4,2,2,4,1,4,2,2,2,2,4,4,2,2,1,1,4,2,1,4,4,2,2,2,2,2,1,2
"extremely unfriendly, extremely unenergetic, extremely unassertive, extremely timid and extremely inactive",1,3,4,1,4,1,3,5,1,1,5,2,2,3,1,5,4,2,3,2,1,1,5,1,4,5,3,3,2,4,4,2,2,4,3,4,2,1,4,2,1,4,2,3,4,1,4,4,2,4,4,3,1,4,4,1,2,3,4,1
"very unintelligent, very unreflective, very unanalytical, very emotionally closed and very uncreative",3,3,5,3,5,4,3,5,2,2,4,4,4,4,1,4,4,2,4,1,5,5,5,2,5,4,4,5,3,5,4,3,4,4,2,5,4,4,4,1,4,4,4,4,5,3,4,5,3,5,5,4,4,4,5,3,3,5,5,5
"very honest, very unselfish, very trustful, very altruistic and very cooperative",4,5,2,4,3,2,5,1,5,5,2,1,5,1,4,3,1,3,2,4,2,1,1,5,1,2,5,2,5,2,2,5,3,2,4,2,1,4,2,4,4,1,5,4,2,2,1,1,4,1,1,5,5,1,2,5,5,1,1,4
"a bit cheerful, a bit energetic, a bit friendly, a bit adventurous and daring and a bit active",5,4,2,4,2,4,5,1,5,5,1,2,4,2,4,1,1,2,2,4,4,1,2,4,2,1,4,4,4,1,2,5,2,2,4,2,1,4,2,4,5,1,4,2,2,4,1,2,4,1,1,4,5,1,2,5,4,4,2,4
"very thrifty, very orderly, very self-efficacious, very thorough and very practical",2,2,1,4,4,4,5,1,4,2,2,1,5,1,2,2,1,5,2,2,2,1,1,5,1,1,2,1,5,2,1,4,5,2,2,1,1,5,1,2,2,1,5,5,2,2,1,1,4,2,1,5,5,1,2,2,2,1,1,2
"very thorough, very conscientious, very orderly, very self-efficacious and very organized",2,4,1,5,2,4,5,1,5,4,2,1,5,1,4,2,1,5,2,3,4,1,1,5,1,1,4,1,5,2,1,5,5,2,4,2,1,5,1,5,3,1,5,5,2,2,1,1,4,2,1,5,5,1,1,3,4,1,1,3
"very altruistic, very sympathetic, very moral, very agreeable and very humble",2,5,2,4,2,2,5,1,5,4,2,1,5,1,2,4,1,2,2,4,1,1,2,4,1,2,5,1,4,2,4,5,3,2,4,4,1,3,4,4,2,1,5,4,2,2,1,1,2,1,5,5,4,1,2,4,5,1,1,3
"extremely unkind, extremely distrustful, extremely uncooperative, extremely stingy and extremely self-important",1,1,1,1,5,5,1,1,1,1,5,5,1,4,5,1,5,1,5,1,1,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,2,5,1,1,1,1,5,1,5,5,1,1,2,1,5,1,1,1,5,1
"extremely practical, extremely self-efficacious, extremely hardworking, extremely conscientious and extremely orderly",2,2,1,2,4,5,5,1,5,3,1,1,5,1,3,1,1,5,2,2,5,1,1,5,1,1,2,1,5,2,1,4,5,1,2,1,1,5,1,3,5,1,5,5,1,2,1,1,5,1,1,5,5,1,2,2,2,1,1,2
"a bit aesthetic, a bit emotionally aware, a bit intelligent, a bit socially progressive and a bit curious",2,4,2,4,2,2,5,2,1,5,2,1,4,2,4,2,1,1,4,4,1,1,2,4,2,2,4,2,1,1,1,4,1,1,4,4,1,2,2,4,5,2,4,1,2,2,1,1,2,1,2,4,4,2,2,1,4,2,2,4
"unassertive, unadventurous, silent, introverted and  unfriendly",1,3,4,2,4,1,3,4,2,1,5,2,3,3,1,5,4,4,4,2,1,1,4,2,5,4,3,2,2,4,5,2,4,5,2,5,1,2,4,2,1,4,3,4,4,1,4,4,2,4,5,3,2,4,4,1,2,2,4,1
"very responsible, very organized, very thorough, very hardworking and very self-disciplined",2,3,1,4,2,5,5,1,5,4,1,1,5,1,3,2,1,5,2,2,4,1,1,5,1,1,4,1,5,2,1,5,5,2,2,1,1,5,1,4,4,1,5,5,2,2,1,1,4,1,1,5,5,1,1,3,4,1,1,3
"very angry, very irritable, very anxious, very depressed and very emotionally unstable",1,1,5,1,4,1,2,4,1,2,5,5,1,5,1,2,4,1,5,2,1,5,5,1,4,4,5,4,1,4,4,2,1,5,2,4,5,1,5,4,1,5,1,1,2,1,4,5,1,4,4,2,2,5,5,1,1,5,5,2
"calm, unselfconscious, patient, happy and  easygoing",4,5,2,5,3,4,5,2,5,5,2,1,5,1,4,4,1,4,2,4,2,1,2,5,2,2,5,2,5,2,2,5,4,1,4,2,1,4,1,4,2,1,5,5,2,2,1,1,5,1,2,5,4,1,2,4,5,2,1,4
"extremely self-disciplined, extremely hardworking, extremely thrifty, extremely organized and extremely practical",1,2,1,2,4,4,5,1,4,2,1,1,5,1,2,2,1,5,2,2,5,1,1,5,1,1,2,1,5,2,1,4,5,1,2,1,1,5,1,2,5,1,5,5,1,1,2,1,5,1,1,4,5,1,5,2,2,1,1,2
"a bit imaginative, a bit emotionally aware, a bit aesthetic, a bit spontaneous and a bit reflective",2,4,2,4,1,2,4,2,4,5,2,2,2,1,4,2,1,2,4,4,2,2,2,4,2,2,4,1,2,1,1,4,2,1,5,4,1,2,2,5,3,2,1,2,1,1,1,2,2,1,2,4,2,1,1,1,4,4,4,4
"organized, hardworking, self-disciplined, responsible and  practical",2,3,1,4,4,3,5,1,4,3,2,1,5,1,2,2,1,5,2,2,2,1,1,4,1,1,3,1,5,2,2,4,5,2,2,2,1,5,1,3,3,1,5,5,2,2,1,1,4,1,1,5,5,1,2,2,2,1,1,2
"neither relaxed nor tense, neither unselfconscious nor self-conscious, neither emotionally stable nor emotionally unstable, neither calm nor angry, and neither level-headed nor impulsive",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"predictable, unreflective, artistically unappreciative, socially conservative and  unintelligent",2,2,5,2,5,2,4,5,2,2,4,5,5,3,1,4,5,5,4,1,5,5,5,2,5,4,2,4,5,5,3,2,5,1,2,5,4,5,2,1,2,5,5,5,5,3,4,5,5,5,5,4,2,2,5,2,2,4,2,2
"very inactive, very unadventurous, very silent, very unassertive and very unenergetic",1,4,4,3,4,1,2,5,2,1,5,3,4,2,1,5,3,4,4,2,1,1,5,2,5,5,3,2,3,4,5,3,3,4,3,4,1,2,4,2,1,3,3,4,4,1,4,4,3,4,5,4,1,4,4,1,3,3,2,1
"unsure, negligent, messy, undisciplined and  lazy",2,3,5,2,3,2,2,5,2,2,4,2,1,4,2,3,4,1,3,2,1,3,5,2,4,4,3,4,2,3,3,2,1,2,3,4,3,1,3,3,1,2,1,2,4,3,3,5,2,3,4,2,1,4,4,2,2,4,4,2
"very introverted, very unenergetic, very silent, very unassertive and very gloomy",1,4,4,1,4,1,4,4,1,1,5,2,3,4,1,5,4,2,4,3,1,1,5,1,5,5,3,4,2,4,5,2,2,5,3,5,1,1,5,4,1,4,2,4,4,1,4,4,2,4,5,4,2,5,4,1,2,2,4,1
"extremely inactive, extremely unassertive, extremely silent, extremely unenergetic and extremely unfriendly",1,3,4,3,4,1,3,5,1,1,5,3,2,3,1,5,4,2,3,2,1,1,5,2,5,5,3,3,3,4,4,2,2,4,3,5,3,1,4,3,1,3,2,3,3,1,4,4,3,4,5,2,1,4,4,1,3,3,3,1
"extremely moral, extremely generous, extremely unselfish, extremely cooperative and extremely kind",4,5,1,5,2,2,5,1,5,5,2,1,5,1,4,3,1,4,2,4,1,1,1,5,1,1,5,1,5,2,4,5,4,2,5,5,1,4,2,5,5,1,5,4,4,2,1,1,5,1,1,5,5,1,1,5,5,1,1,4
"adventurous and daring, energetic, active, cheerful and  assertive",5,2,1,2,1,5,5,1,5,5,1,2,2,1,5,1,1,2,2,4,5,2,1,5,1,1,4,4,4,1,1,4,2,1,4,1,1,5,1,1,5,1,4,2,1,5,1,1,5,1,1,4,5,1,1,5,5,4,2,5
"a bit tense, a bit irritable, a bit anxious, a bit discontented and a bit nervous",1,2,4,1,4,1,2,2,2,2,4,4,2,4,2,2,4,2,5,2,2,4,4,2,4,4,2,4,2,4,4,2,3,5,2,4,4,2,4,4,1,4,2,2,4,2,4,4,1,4,4,2,2,4,4,1,2,4,4,2
"very altruistic, very trustful, very humble, very unselfish and very generous",3,5,2,5,2,2,5,1,5,5,2,1,5,1,4,4,1,2,2,4,1,1,2,5,1,2,5,2,5,2,4,5,3,2,5,5,1,3,2,4,4,1,5,4,2,2,1,1,5,1,5,5,4,1,2,5,5,1,1,3
"extremely humble, extremely trustful, extremely kind, extremely generous and extremely altruistic",4,5,2,5,3,2,5,1,5,5,2,1,5,1,4,4,1,4,2,4,1,1,2,5,1,3,5,2,5,2,4,5,4,2,4,5,1,4,2,4,4,1,5,4,2,2,1,1,5,1,5,5,4,1,2,5,5,1,1,3
"a bit happy, a bit unselfconscious, a bit easygoing, a bit emotionally stable and a bit at ease",4,4,2,4,2,4,4,2,4,4,2,2,4,2,4,2,2,3,2,4,2,2,2,4,2,2,4,4,4,2,2,4,3,2,4,4,2,4,2,4,4,2,4,4,2,4,2,2,4,2,2,4,4,2,2,4,4,2,2,4
"very generous, very sympathetic, very altruistic, very moral and very agreeable",4,5,2,5,2,2,5,1,5,5,2,1,5,1,4,2,1,2,2,5,2,1,2,5,1,2,5,2,5,2,2,5,3,2,5,2,1,4,2,4,4,1,5,2,2,2,1,1,4,1,2,5,4,1,2,5,5,1,1,4
"very orderly, very thorough, very thrifty, very self-disciplined and very self-efficacious",2,2,1,4,4,4,5,1,5,3,2,1,5,1,2,2,1,5,2,2,2,1,1,5,1,1,3,1,5,2,1,4,5,2,2,1,1,5,1,4,3,1,5,5,2,1,1,1,5,2,1,5,5,1,2,2,3,1,1,2
